Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
22 de jan. de 2021,67,49,74,0,461,74,35,1.21,45.857142857142854,69,28.285714285714285,3
21 de jan. de 2021,56,43,-108,0,443,67,27,1.13,42.857142857142854,67.14285714285714,27.142857142857142,4
20 de jan. de 2021,58,56,280,0,430,76,30,1.05,40.142857142857146,63.285714285714285,26.571428571428573,5
19 de jan. de 2021,55,39,107,2,428,77,26,0.97,39.57142857142857,58,26.142857142857142,6
18 de jan. de 2021,19,27,60,0,414,60,26,0.96,36.57142857142857,53.285714285714285,26.142857142857142,4
17 de jan. de 2021,6,53,138,0,422,63,27,0.94,35.142857142857146,49.57142857142857,25.714285714285715,7
16 de jan. de 2021,60,48,67,1,469,66,27,1,36.857142857142854,45.142857142857146,24.142857142857142,7
15 de jan. de 2021,46,24,129,1,458,61,27,1.02,36.857142857142854,40.57142857142857,22.857142857142858,6
14 de jan. de 2021,37,27,97,1,437,40,23,1.13,39.857142857142854,36.285714285714285,21.142857142857142,7
13 de jan. de 2021,54,32,122,1,428,39,27,1.08,37.42857142857143,36.42857142857143,21,6
12 de jan. de 2021,34,35,44,0,407,44,26,1.3,42.285714285714285,38.285714285714285,20,5
11 de jan. de 2021,9,24,81,3,408,34,23,1.15,39.57142857142857,40.57142857142857,19.428571428571427,5
10 de jan. de 2021,18,29,93,0,426,32,16,1.21,42.142857142857146,41.42857142857143,19,4
9 de jan. de 2021,60,45,71,0,437,34,18,1.15,40.285714285714285,44.57142857142857,19.285714285714285,4
8 de jan. de 2021,67,35,94,2,422,31,15,0.92,32.285714285714285,46.857142857142854,19.285714285714285,4
7 de jan. de 2021,20,55,38,0,392,41,22,0.81,28.142857142857142,49.57142857142857,19.714285714285715,2
6 de jan. de 2021,88,36,152,0,427,52,20,0.98,33.42857142857143,51.142857142857146,19.285714285714285,2
5 de jan. de 2021,15,39,73,0,375,60,22,0.84,28.428571428571427,50.57142857142857,19.285714285714285,2
4 de jan. de 2021,27,24,40,2,399,40,20,1.19,40.142857142857146,49,19.571428571428573,3
3 de jan. de 2021,5,38,57,0,398,54,18,1.15,38.714285714285715,52.714285714285715,20.428571428571427,1
2 de jan. de 2021,4,37,0,0,431,50,18,1.11,38,50.857142857142854,20,1
1 de jan. de 2021,38,29,70,0,464,50,18,1.14,39.42857142857143,49.714285714285715,19.571428571428573,1
31 de dez. de 2020,57,42,106,0,455,52,19,0.96,34.285714285714285,49.285714285714285,20.285714285714285,1
30 de dez. de 2020,53,53,129,0,440,48,20,0.94,34.42857142857143,48.857142857142854,20.428571428571427,1
29 de dez. de 2020,97,54,164,1,440,49,24,0.86,32,50.714285714285715,20.571428571428573,2
28 de dez. de 2020,17,17,49,0,398,66,26,0.73,27,52.42857142857143,19.571428571428573,1
27 de dez. de 2020,0,25,13,0,398,41,15,0.71,26.142857142857142,50.857142857142854,18.142857142857142,2
26 de dez. de 2020,14,29,81,0,423,42,15,0.74,26.857142857142858,52.142857142857146,18,2
25 de dez. de 2020,2,22,5,0,438,47,23,1.05,37.857142857142854,53,17.857142857142858,2
24 de dez. de 2020,58,64,128,0,458,49,20,1.18,42.142857142857146,54,17,6
23 de dez. de 2020,36,4,94,1,464,61,21,1.19,42.285714285714285,56.285714285714285,16.714285714285715,6
22 de dez. de 2020,62,30,287,0,433,61,17,1.16,41.285714285714285,54.714285714285715,16.285714285714285,6
21 de dez. de 2020,11,1,19,1,401,55,16,1.04,37,53.57142857142857,16.285714285714285,7
20 de dez. de 2020,5,28,12,0,392,50,14,1.04,37,52.285714285714285,16.142857142857142,7
19 de dez. de 2020,91,46,142,0,415,48,14,1.05,37,52.42857142857143,17,8
18 de dez. de 2020,32,9,98,4,370,54,17,0.89,30.857142857142858,53,18,9
17 de dez. de 2020,59,29,128,0,351,65,18,1.05,35.142857142857146,52.857142857142854,18.714285714285715,6
16 de dez. de 2020,29,30,104,1,321,50,18,0.98,31.428571428571427,50.57142857142857,18.857142857142858,7
15 de dez. de 2020,32,23,99,1,323,53,17,1.15,35,50.714285714285715,18.714285714285715,6
14 de dez. de 2020,11,11,27,1,315,46,15,1.46,42.42857142857143,51.857142857142854,18.428571428571427,5
13 de dez. de 2020,5,26,14,1,316,51,20,1.48,41.285714285714285,52.42857142857143,18.571428571428573,5
12 de dez. de 2020,48,22,51,1,338,52,21,1.52,40.714285714285715,49.857142857142854,18,4
11 de dez. de 2020,62,23,138,1,313,53,22,1.51,38.57142857142857,47.42857142857143,17.285714285714285,3
10 de dez. de 2020,33,25,94,1,275,49,19,1.33,32.42857142857143,44.714285714285715,16.142857142857142,2
9 de dez. de 2020,54,31,118,0,268,51,17,1.42,33,42,15.428571428571429,1
8 de dez. de 2020,84,24,283,0,245,61,15,1.53,33.857142857142854,39.57142857142857,14.714285714285714,1
7 de dez. de 2020,3,13,18,1,185,50,16,1.35,28.142857142857142,36,14.142857142857142,1
6 de dez. de 2020,1,12,18,0,196,33,16,1.41,28.857142857142858,34.285714285714285,13.285714285714286,0
5 de dez. de 2020,33,23,45,0,207,35,16,1.52,29.285714285714285,33.42857142857143,12.428571428571429,0
4 de dez. de 2020,19,14,118,0,197,34,14,1.61,27.714285714285715,32.285714285714285,11.571428571428571,0
3 de dez. de 2020,37,28,115,0,192,30,14,1.67,27,31.142857142857142,11,0
2 de dez. de 2020,60,27,193,0,183,34,12,1.77,26.571428571428573,29.857142857142858,10.428571428571429,0
1 de dez. de 2020,44,19,87,0,150,36,11,1.55,21.428571428571427,27.857142857142858,10.142857142857142,0
30 de nov. de 2020,8,13,124,0,125,38,10,1.63,20.714285714285715,25.285714285714285,9.142857142857142,0
29 de nov. de 2020,4,11,8,0,130,27,10,1.88,22.428571428571427,21.714285714285715,8.285714285714286,1
28 de nov. de 2020,22,7,30,0,137,27,10,1.94,22,19.428571428571427,7.142857142857143,1
27 de nov. de 2020,14,12,87,0,122,26,10,1.79,19.428571428571427,17.428571428571427,6.142857142857143,1
26 de nov. de 2020,34,4,182,0,120,21,10,1.64,17.428571428571427,15.571428571428571,5.142857142857143,1
25 de nov. de 2020,24,33,113,0,90,20,10,1.43,15,14.571428571428571,4.285714285714286,1
24 de nov. de 2020,39,16,157,0,99,18,4,1.53,16,13.714285714285714,3.142857142857143,1
23 de nov. de 2020,20,10,145,1,76,13,4,1.18,12.285714285714286,13.857142857142858,3.2857142857142856,1
22 de nov. de 2020,1,10,9,0,67,11,2,0.96,9.857142857142858,14.857142857142858,3.4285714285714284,1
21 de nov. de 2020,4,3,12,0,76,13,3,0.96,9.714285714285714,16,4.428571428571429,1
20 de nov. de 2020,0,9,5,0,75,13,3,0.99,10,16.857142857142858,5.285714285714286,1
19 de nov. de 2020,17,12,120,0,84,14,4,1.25,12.428571428571429,18.142857142857142,5.857142857142857,1
18 de nov. de 2020,31,12,93,0,79,14,2,1.2,11.714285714285714,18.857142857142858,6.571428571428571,1
17 de nov. de 2020,13,7,96,0,60,19,5,0.96,9.142857142857142,20,7.285714285714286,1
16 de nov. de 2020,3,8,23,1,54,20,5,1.03,9.571428571428571,20.571428571428573,7.571428571428571,1
15 de nov. de 2020,0,6,6,0,60,19,9,1.22,11.142857142857142,20.142857142857142,7.857142857142857,0
14 de nov. de 2020,6,33,45,0,66,19,9,1.28,11.571428571428571,19.142857142857142,7.714285714285714,0
13 de nov. de 2020,17,11,21,0,93,22,7,1.21,11,18.142857142857142,7.571428571428571,0
12 de nov. de 2020,12,9,96,0,87,19,9,1.09,10,17,7.714285714285714,0
11 de nov. de 2020,13,6,16,0,84,22,7,1.12,10.571428571428571,16.571428571428573,7.857142857142857,0
10 de nov. de 2020,16,6,37,0,77,23,7,1.13,11,15.285714285714286,8.142857142857142,0
9 de nov. de 2020,14,9,90,0,67,17,7,0.9,9,14,8.428571428571429,1
8 de nov. de 2020,3,9,29,0,62,12,8,0.7,7.142857142857143,13.857142857142858,8.714285714285714,1
7 de nov. de 2020,2,6,7,0,68,12,8,0.71,7.285714285714286,14.285714285714286,9,1
6 de nov. de 2020,10,11,187,0,72,14,8,0.85,8.714285714285714,14.571428571428571,9,1
5 de nov. de 2020,16,11,121,0,73,16,10,0.8,8.142857142857142,14.285714285714286,9.285714285714286,2
4 de nov. de 2020,16,7,48,0,68,13,9,0.95,9.428571428571429,13.428571428571429,9,2
3 de nov. de 2020,2,6,17,1,59,14,9,0.93,9,13,8.571428571428571,2
2 de nov. de 2020,1,8,3,0,64,16,9,1.17,11,12.428571428571429,8,2
1 de nov. de 2020,4,8,18,0,71,15,10,1.23,11.285714285714286,12,7.428571428571429,2
31 de out. de 2020,12,5,44,0,75,14,8,1.34,12,12.714285714285714,7.142857142857143,2
30 de out. de 2020,6,3,24,1,68,12,10,1.18,10.428571428571429,13.714285714285714,7.428571428571429,2
29 de out. de 2020,25,13,80,0,66,10,8,1.36,12,15.285714285714286,7.571428571428571,1
28 de out. de 2020,13,8,32,0,54,10,6,1.15,10.142857142857142,16.857142857142858,7.857142857142857,2
27 de out. de 2020,16,9,67,1,49,10,5,1.14,10,18.285714285714285,8.428571428571429,2
26 de out. de 2020,3,10,36,0,43,13,5,1.02,9,20,9.142857142857142,1
25 de out. de 2020,9,8,15,0,50,20,8,1,8.857142857142858,22,9.857142857142858,2
24 de out. de 2020,1,11,12,0,49,21,10,0.9,8,23,10,2
23 de out. de 2020,17,11,68,0,59,23,11,1.05,9.428571428571429,23.857142857142858,9.857142857142858,2
22 de out. de 2020,12,5,61,1,53,21,10,1.03,9.285714285714286,24.428571428571427,9.428571428571429,2
21 de out. de 2020,12,7,45,0,47,20,10,0.99,9,26,9.285714285714286,2
20 de out. de 2020,9,6,58,0,42,22,10,0.84,7.714285714285714,28,9.285714285714286,4
19 de out. de 2020,2,5,41,1,39,27,10,0.92,8.571428571428571,30.142857142857142,9.857142857142858,4
18 de out. de 2020,3,12,3,0,43,27,9,0.99,9.428571428571429,29.857142857142858,9.857142857142858,3
17 de out. de 2020,11,8,64,0,52,27,9,0.92,9,30.142857142857142,10.714285714285714,3
16 de out. de 2020,16,12,58,0,49,27,8,0.9,9.142857142857142,30.571428571428573,11.571428571428571,3
15 de out. de 2020,10,7,57,1,45,32,9,0.81,8.571428571428571,30.428571428571427,12.285714285714286,4
14 de out. de 2020,3,5,23,2,43,34,10,0.8,8.857142857142858,29.571428571428573,13,3
13 de out. de 2020,15,10,49,0,47,37,14,0.79,9.285714285714286,27.857142857142858,13.571428571428571,1
12 de out. de 2020,8,4,11,0,42,25,10,0.72,8.857142857142858,26,13.714285714285714,1
11 de out. de 2020,0,4,3,0,38,29,15,0.59,7.714285714285714,25.714285714285715,14.428571428571429,1
10 de out. de 2020,12,5,61,0,42,30,15,0.71,9.714285714285714,24,13.857142857142858,1
9 de out. de 2020,12,5,54,1,35,26,13,0.62,8.857142857142858,22.285714285714285,13.428571428571429,2
8 de out. de 2020,12,5,13,0,29,26,14,0.59,8.857142857142858,21.428571428571427,13.571428571428571,1
7 de out. de 2020,6,15,88,0,22,22,14,0.59,9,21.571428571428573,13.428571428571429,1
6 de out. de 2020,12,16,69,0,31,24,15,0.7,11.571428571428571,22.428571428571427,13.428571428571429,2
5 de out. de 2020,0,5,33,0,35,23,15,0.72,12.142857142857142,23.142857142857142,13,3
4 de out. de 2020,14,9,78,0,40,17,11,0.83,14.142857142857142,24.285714285714285,12.857142857142858,3
3 de out. de 2020,6,8,15,1,35,18,12,0.72,12.428571428571429,25.571428571428573,12.428571428571429,3
2 de out. de 2020,12,16,55,0,38,20,14,0.88,15.285714285714286,26.714285714285715,12,2
1 de out. de 2020,13,10,24,0,42,27,13,0.96,16.428571428571427,27.571428571428573,11.428571428571429,2
30 de set. de 2020,24,18,118,1,39,28,14,0.88,15.857142857142858,27.571428571428573,11.571428571428571,3
29 de set. de 2020,16,0,47,1,34,29,12,0.87,15.571428571428571,27.714285714285715,11.428571428571429,2
28 de set. de 2020,14,14,46,0,19,31,14,0.89,16.571428571428573,27.428571428571427,11,1
27 de set. de 2020,2,2,3,0,19,26,8,0.83,16.142857142857142,26,10.428571428571429,3
26 de set. de 2020,26,24,66,0,19,26,9,0.83,17.142857142857142,26,10.857142857142858,4
25 de set. de 2020,20,41,123,0,17,26,10,0.67,14.714285714285714,27.142857142857142,11.428571428571429,5
24 de set. de 2020,9,21,52,1,38,27,14,0.68,16.142857142857142,29.428571428571427,12.142857142857142,7
23 de set. de 2020,22,49,104,0,51,29,13,0.66,16.285714285714285,31,12.142857142857142,9
22 de set. de 2020,23,62,84,0,78,27,9,0.59,15.571428571428571,32.714285714285715,12.428571428571429,10
21 de set. de 2020,11,20,36,2,117,21,10,0.57,15.714285714285714,35,13.285714285714286,13
20 de set. de 2020,9,19,34,1,128,26,11,0.56,16.428571428571427,38.285714285714285,14,12
19 de set. de 2020,9,19,34,1,139,34,13,0.59,18.142857142857142,41.142857142857146,14,11
18 de set. de 2020,30,29,113,2,150,42,15,0.63,20.142857142857142,42.142857142857146,13.857142857142858,10
17 de set. de 2020,10,32,52,3,151,38,14,0.55,18.571428571428573,40.42857142857143,13.285714285714286,8
16 de set. de 2020,17,48,96,1,176,41,15,0.62,21.714285714285715,40.42857142857143,13,6
15 de set. de 2020,24,49,65,3,208,43,15,0.71,26.428571428571427,40.142857142857146,12.571428571428571,7
14 de set. de 2020,16,32,26,1,236,44,15,0.77,30.285714285714285,38.142857142857146,12.142857142857142,4
13 de set. de 2020,21,46,62,0,253,46,11,0.68,28.571428571428573,36.42857142857143,13.142857142857142,4
