Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
9 de nov. de 2020,14,9,90,0,67,48,7,0.9,9,52.42857142857143,8.428571428571429,1
8 de nov. de 2020,3,9,29,0,62,54,8,0.7,7.142857142857143,53,8.714285714285714,1
7 de nov. de 2020,2,6,7,0,68,65,8,0.71,7.285714285714286,52.857142857142854,9,1
6 de nov. de 2020,10,11,187,0,72,50,8,0.85,8.714285714285714,50.57142857142857,9,1
5 de nov. de 2020,16,11,121,0,73,53,10,0.8,8.142857142857142,50.714285714285715,9.285714285714286,2
4 de nov. de 2020,16,7,48,0,68,46,9,0.95,9.428571428571429,51.857142857142854,9,2
3 de nov. de 2020,2,6,17,1,59,51,9,0.93,9,52.42857142857143,8.571428571428571,2
2 de nov. de 2020,1,8,3,0,64,52,9,1.17,11,49.857142857142854,8,2
1 de nov. de 2020,4,8,18,0,71,53,10,1.23,11.285714285714286,47.42857142857143,7.428571428571429,2
31 de out. de 2020,12,5,44,0,75,49,8,1.34,12,44.714285714285715,7.142857142857143,2
30 de out. de 2020,6,3,24,1,68,51,10,1.18,10.428571428571429,42,7.428571428571429,2
29 de out. de 2020,25,13,80,0,66,61,8,1.36,12,39.42857142857143,7.571428571428571,1
28 de out. de 2020,13,8,32,0,54,50,6,1.15,10.142857142857142,35.857142857142854,7.857142857142857,2
27 de out. de 2020,16,9,67,1,49,33,5,1.14,10,34.142857142857146,8.428571428571429,2
26 de out. de 2020,3,10,36,0,43,35,5,1.02,9,33.285714285714285,9.142857142857142,1
25 de out. de 2020,9,8,15,0,50,34,8,1,8.857142857142858,32.142857142857146,9.857142857142858,2
24 de out. de 2020,1,11,12,0,49,30,10,0.9,8,31,10,2
23 de out. de 2020,17,11,68,0,59,33,11,1.05,9.428571428571429,29.714285714285715,9.857142857142858,2
22 de out. de 2020,12,5,61,1,53,36,10,1.03,9.285714285714286,27.857142857142858,9.428571428571429,2
21 de out. de 2020,12,7,45,0,47,38,10,0.99,9,25.285714285714285,9.285714285714286,2
20 de out. de 2020,9,6,58,0,42,27,10,0.84,7.714285714285714,21.714285714285715,9.285714285714286,4
19 de out. de 2020,2,5,41,1,39,27,10,0.92,8.571428571428571,19.428571428571427,9.857142857142858,4
18 de out. de 2020,3,12,3,0,43,26,9,0.99,9.428571428571429,17.428571428571427,9.857142857142858,3
17 de out. de 2020,11,8,64,0,52,21,9,0.92,9,15.571428571428571,10.714285714285714,3
16 de out. de 2020,16,12,58,0,49,20,8,0.9,9.142857142857142,14.571428571428571,11.571428571428571,3
